year,month,year_month,airport,residence_country,traveller_type,counts
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Africa,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Africa,Tourists (overnight),69
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Africa,Visitors,69
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Africa - other countries,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Africa - other countries,Tourists (overnight),21
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Africa - other countries,Visitors,21
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Algeria,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Algeria,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Algeria,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Americas, countries other than the United States of America",Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Americas, countries other than the United States of America",Tourists (overnight),136
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Americas, countries other than the United States of America",Visitors,136
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Americas, countries other than the United States of America - other countries",Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Americas, countries other than the United States of America - other countries",Tourists (overnight),11
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Americas, countries other than the United States of America - other countries",Visitors,11
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Antarctica and Adjacent Islands,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Antarctica and Adjacent Islands,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Antarctica and Adjacent Islands,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Antarctica and Adjacent Islands - all countries,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Antarctica and Adjacent Islands - all countries,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Antarctica and Adjacent Islands - all countries,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Argentina,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Argentina,Tourists (overnight),3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Argentina,Visitors,3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Asia,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Asia,Tourists (overnight),48
